gene,sample,group,value_log2
Npas2,Mmus_C57-6J_GST-M10_FLT_Rep1,Flight,4.65104006343633
Npas2,Mmus_C57-6J_GST-M11_FLT_Rep2,Flight,4.526993132128835
Npas2,Mmus_C57-6J_GST-M8_FLT_Rep3,Flight,4.456994694585425
Npas2,Mmus_C57-6J_GST-M9_FLT_Rep4,Flight,4.3707411259297
Nr1d1,Mmus_C57-6J_GST-M19_CTRL_Rep1,NormalLoaded,9.02718543744801
Nr1d1,Mmus_C57-6J_GST-M1_CTRL_Rep2,NormalLoaded,8.88341248732805
Nr1d1,Mmus_C57-6J_GST-M21_CTRL_Rep3,NormalLoaded,9.1416489217385
Nr1d1,Mmus_C57-6J_GST-M22_CTRL_Rep4,NormalLoaded,9.14015739396355
Nr1d1,Mmus_C57-6J_GST-M2_CTRL_Rep5,NormalLoaded,8.85619765449666
Nr1d1,Mmus_C57-6J_GST-M14_HLU-RL_Rep1,HLU+Reloaded,8.74579364319297
Nr1d1,Mmus_C57-6J_GST-M15_HLU-RL_Rep2,HLU+Reloaded,8.96435981931698
Nr1d1,Mmus_C57-6J_GST-M16_HLU-RL_Rep3,HLU+Reloaded,8.7077931254543
Nr1d1,Mmus_C57-6J_GST-M18_HLU-RL_Rep4,HLU+Reloaded,8.68854633781334
Nr1d1,Mmus_C57-6J_GST-M33_HLU-RL_Rep5,HLU+Reloaded,8.82151295339684
Nr1d1,Mmus_C57-6J_GST-M11_HLU_Rep1,HLU,7.87775901454822
Nr1d1,Mmus_C57-6J_GST-M25_HLU_Rep2,HLU,9.09145640465222
Nr1d1,Mmus_C57-6J_GST-M30_HLU_Rep3,HLU,8.92647109507519
Nr1d1,Mmus_C57-6J_GST-M8_HLU_Rep4,HLU,9.00102710525385
Nr1d1,Mmus_C57-6J_GST-M9_HLU_Rep5,HLU,8.8339752827115
Nr1d1,Mmus_C57-6J_GST-M1_GC_Rep1,GroundControl,8.88740145052398
Nr1d1,Mmus_C57-6J_GST-M2_GC_Rep2,GroundControl,8.85545792186005
