strength,drive_period_h,period_ratio,observed_period_h,rotation_number,phase_drift_per_cycle,oscillating,entrained
0.03,20.212977665473208,0.844,23.435651927366962,0.8652756275625537,0.13632587862346807,True,False
0.03,20.500365973513112,0.856,23.830709250942164,0.8742950271257295,0.1250643199843797,True,False
0.03,20.787754281553017,0.868,23.007823129295502,0.8662463522000424,0.10536915671545379,True,False
0.03,21.075142589592918,0.8799999999999999,22.896287878677413,0.9098923616256196,0.09116643923605064,True,False
0.03,21.362530897632823,0.892,22.557734059467975,0.9342527965502385,0.06218427955531063,True,False
0.03,21.649919205672724,0.9039999999999999,21.649684210420673,1.0000105863951037,7.924482464140109e-06,True,True
0.03,21.93730751371263,0.9159999999999999,21.937927748300353,1.0000078450100367,1.1104564842261823e-06,True,True
0.03,22.224695821752533,0.9279999999999999,22.224374999701922,1.0000094838776787,1.3860046812957186e-06,True,True
0.03,22.512084129792434,0.94,22.510918367505155,1.0000083756965104,5.040502556868198e-07,True,True
0.03,22.79947243783234,0.952,22.800000000000182,1.0000032811307284,7.458346952469344e-07,True,True
0.03,23.086860745872244,0.964,23.086252318918923,1.000009697621244,1.0776759942584999e-06,True,True
0.03,23.374249053912145,0.9759999999999999,23.376176046184355,1.0000082812200524,6.396711447108534e-07,True,True
0.03,23.66163736195205,0.988,23.66036538630715,1.000002434029007,3.791745268679443e-08,True,True
0.03,23.949025669991954,1.0,23.95020198024781,0.8813613667010691,2.606382010067929e-07,True,False
0.03,24.236413978031855,1.012,24.23690157264491,1.0000114024482518,1.6311770493327497e-06,True,True
0.03,24.52380228607176,1.024,24.52333333313436,1.0000086021170085,7.653661269661145e-07,True,True
0.03,24.811190594111665,1.036,24.810864173620757,1.0000087776990907,1.5849722065944634e-06,True,True
0.03,25.098578902151566,1.0479999999999998,24.906001624837018,1.0207011328753828,0.02303692028251066,True,False
0.03,25.38596721019147,1.06,24.30778303682837,1.0526779648779496,0.05061229806439905,True,False
0.03,25.673355518231375,1.072,24.251980246604035,1.0319485492520482,0.06719188446251693,True,False
0.03,25.960743826271276,1.0839999999999999,24.234552941359652,1.084889891146376,0.08222814252525773,True,False
0.03,26.24813213431118,1.0959999999999999,24.246599999814862,1.0948171141485923,0.0956082760237994,True,False
0.03,26.535520442351086,1.108,24.23467627525315,1.0740982063205398,0.11144703744939297,True,False
0.03,26.822908750390987,1.1199999999999999,24.240000000000236,1.1237251909007013,0.12486338126355433,True,False
0.03,27.11029705843089,1.132,24.230821414962293,1.0786692452049493,0.13669473608081836,True,False
0.03,27.397685366470792,1.144,24.23140000022886,1.1491972076522525,0.148274442104117,True,False
0.03,27.685073674510697,1.156,24.190474207364105,1.1675721395062102,0.16624542039316575,True,False
0.03,27.9724619825506,1.168,24.213147194833027,1.1543436440989838,0.1735330521397756,True,False
0.03,28.259850290590503,1.18,24.18824536070224,1.186040065790002,0.187517482474121,True,False
0.04,19.638201049393402,0.82,23.61224999994056,0.8466349612485582,0.15279285083107227,True,False
0.04,19.925589357433307,0.8320000000000001,23.539821165800277,0.8567316070751664,0.1428168816747982,True,False
0.04,20.212977665473208,0.844,23.32058947384303,0.862422768157896,0.12189867600464084,True,False
0.04,20.500365973513112,0.856,22.67616228044062,0.8895277744273192,0.1110574745305534,True,False
0.04,20.787754281553017,0.868,20.787537028193128,1.0000109006826086,1.068580633851978e-06,True,True
0.04,21.075142589592918,0.8799999999999999,21.074992191790898,1.0000080397225797,2.792977363207299e-06,True,True
0.04,21.362530897632823,0.892,21.36170784696924,1.0000082776760577,2.0963177227179422e-08,True,True
0.04,21.649919205672724,0.9039999999999999,21.649473684429722,1.0000101780321864,7.205044101244789e-06,True,True
0.04,21.93730751371263,0.9159999999999999,21.937676738500613,1.0000089244469472,6.040299756920881e-07,True,True
0.04,22.224695821752533,0.9279999999999999,22.223233858048843,1.0000076385064884,9.06117411055977e-07,True,True
0.04,22.512084129792434,0.94,22.511130908634414,1.0000101484167923,5.377690617459969e-07,True,True
0.04,22.79947243783234,0.952,22.799999999999727,1.000002126137173,1.0914696100058303e-06,True,True
0.04,23.086860745872244,0.964,23.086891362666847,1.000010387072863,9.322025700328811e-07,True,True
0.04,23.374249053912145,0.9759999999999999,23.375716161429864,1.000007517755911,5.108560673440206e-07,True,True
0.04,23.66163736195205,0.988,23.66010000005349,1.000000170259505,2.1945031326631104e-07,True,True
0.04,23.949025669991954,1.0,23.948999999761327,1.0000050729434975,5.989645899927344e-09,True,True
0.04,24.236413978031855,1.012,24.23654436029483,1.0000121289171109,1.3481423787358402e-06,True,True
0.04,24.52380228607176,1.024,24.52350611537713,1.000008652506234,3.198443963597752e-07,True,True
0.04,24.811190594111665,1.036,24.81034646838907,1.0000094749802484,7.999422729925746e-07,True,True
0.04,25.098578902151566,1.0479999999999998,25.099029126185997,1.0000102447823718,2.6524086266158247e-06,True,True
0.04,25.38596721019147,1.06,25.399417475759947,0.9810220048835087,0.0010413689451527328,True,True
0.04,25.673355518231375,1.072,24.595540078282284,1.0387427766690724,0.057130877531092604,True,False
0.04,25.960743826271276,1.0839999999999999,24.366751351580206,1.0618727859213124,0.0763880519854007,True,False
0.04,26.24813213431118,1.0959999999999999,24.366995046883858,1.072331325110136,0.09067905961722726,True,False
0.04,26.535520442351086,1.108,24.283564355969702,1.111683567763639,0.11113032279612169,True,False
0.04,26.822908750390987,1.1199999999999999,24.348927029631795,1.1043673531893001,0.1249337078677301,True,False
0.04,27.11029705843089,1.132,24.320155193507617,1.134425442851257,0.13472389278274569,True,False
0.04,27.397685366470792,1.144,24.314867415800563,1.1413468132524918,0.14280656317215257,True,False
0.04,27.685073674510697,1.156,24.226488548740235,1.1682069259868435,0.16680450428849228,True,False
0.04,27.9724619825506,1.168,24.3469967775045,1.1485955542026582,0.1667143715339101,True,False
0.04,28.259850290590503,1.18,24.24751649484051,1.1859723345648903,0.1876056495750322,True,False
0.05,19.638201049393402,0.82,23.280023391694158,0.845777210691484,0.1382640154844,True,False
0.05,19.925589357433307,0.8320000000000001,22.77450359821364,0.8769539068599926,0.11993861136774756,True,False
0.05,20.212977665473208,0.844,20.213171036094536,0.985721866181248,2.1970511029856654e-07,True,True
0.05,20.500365973513112,0.856,20.5,1.000008359113727,2.5693719875649308e-06,True,True
0.05,20.787754281553017,0.868,20.788107760399498,1.0000110151730317,5.722544085975919e-07,True,True
0.05,21.075142589592918,0.8799999999999999,21.076381685584693,1.000006114480344,2.3702340404846884e-06,True,True
0.05,21.362530897632823,0.892,21.361994341015816,1.000011542068105,2.590361864163904e-07,True,True
0.05,21.649919205672724,0.9039999999999999,21.649932017326137,1.0000100698075056,7.097874176888322e-06,True,True
0.05,21.93730751371263,0.9159999999999999,21.93874342106301,1.000007959035378,3.394668075474209e-07,True,True
0.05,22.224695821752533,0.9279999999999999,22.223251718431584,0.9206406395408969,5.948225981471285e-07,True,False
0.05,22.512084129792434,0.94,22.511882266849398,0.9677516135704812,4.4728812619109313e-07,True,False
0.05,22.79947243783234,0.952,22.800000000000182,1.00000139260037,1.2457684918957195e-06,True,True
0.05,23.086860745872244,0.964,23.089399999976195,1.0000106185882436,8.504645004904296e-07,True,True
0.05,23.374249053912145,0.9759999999999999,23.37557396747161,1.0000066217674526,4.121588169044214e-07,True,True
0.05,23.66163736195205,0.988,23.660599999986516,0.9999983642049088,4.31089572184441e-07,True,True
0.05,23.949025669991954,1.0,23.95019770935187,0.8135627071381178,9.006766513357498e-08,True,False
0.05,24.236413978031855,1.012,24.2359058820457,1.0000132312491414,1.32227707861967e-06,True,True
0.05,24.52380228607176,1.024,24.523333333432674,1.00000774659042,9.128495617368287e-08,True,True
0.05,24.811190594111665,1.036,24.81065867126017,0.9824647100878909,7.146810072153597e-07,True,True
0.05,25.098578902151566,1.0479999999999998,25.09984389841611,1.0000090284836034,2.2688905197695155e-06,True,True
0.05,25.38596721019147,1.06,25.385002311617427,1.000009208289282,1.0904108074956497e-06,True,True
0.05,25.673355518231375,1.072,24.72155722320076,1.0323241642059484,0.05167412517598947,True,False
0.05,25.960743826271276,1.0839999999999999,24.55810861408736,1.0641133568696222,0.06741128554456305,True,False
0.05,26.24813213431118,1.0959999999999999,24.512697445042477,1.0845703063827605,0.0871885883689254,True,False
0.05,26.535520442351086,1.108,24.408338945135256,1.111424509142316,0.1105884032331968,True,False
0.05,26.822908750390987,1.1199999999999999,24.391454839259495,1.1120144728390682,0.11133770213182284,True,False
0.05,27.11029705843089,1.132,24.217083714678665,1.1453786147989484,0.1430656749862142,True,False
0.05,27.397685366470792,1.144,24.392988275289554,1.0886323999872054,0.14282264280594306,True,False
0.05,27.685073674510697,1.156,24.256541654467583,1.1482022445128854,0.16689562489493642,True,False
0.05,27.9724619825506,1.168,24.337334693670527,1.168505063097086,0.16681518231714285,True,False
0.05,28.259850290590503,1.18,24.27698604673151,1.179996868224917,0.20001061014618463,True,False
0.06,19.638201049393402,0.82,19.639657755494227,1.0000156064941104,1.929003383126955e-07,True,True
0.06,19.925589357433307,0.8320000000000001,19.924708886742792,1.000015198285166,1.4275028206522314e-06,True,True
0.06,20.212977665473208,0.844,20.21139560431243,1.00000418625932,2.1072230781750946e-07,True,True
0.06,20.500365973513112,0.856,20.5,1.000008477334858,2.401558213593122e-06,True,True
0.06,20.787754281553017,0.868,20.788122145459283,1.0000135557226992,7.814558086208745e-07,True,True
0.06,21.075142589592918,0.8799999999999999,21.07591467469956,1.0000065854222193,2.1701367551386773e-06,True,True
0.06,21.362530897632823,0.892,21.35996453907319,1.000012896682522,3.0142408319600633e-07,True,True
0.06,21.649919205672724,0.9039999999999999,21.649473684429722,1.0000100892709147,7.064043444569536e-06,True,True
0.06,21.93730751371263,0.9159999999999999,21.937894736826593,1.0000036276506499,4.807634211735464e-08,True,True
0.06,22.224695821752533,0.9279999999999999,22.2250620657951,0.984131728433848,1.1566122444239508e-06,True,True
0.06,22.512084129792434,0.94,22.51181148737669,0.9838794490721795,5.987878362560543e-08,True,True
0.06,22.79947243783234,0.952,22.800000000000182,1.000000618397425,1.3403782808274333e-06,True,True
0.06,23.086860745872244,0.964,23.089114285409323,1.0000089803587964,7.291264863210701e-07,True,True
0.06,23.374249053912145,0.9759999999999999,23.375353535264594,1.0000057617928848,2.838923020290002e-07,True,True
0.06,23.66163736195205,0.988,23.660798020064703,0.9666635589158131,7.327878207065947e-07,True,False
0.06,23.949025669991954,1.0,23.94939040973759,1.0000033519835105,2.635974016494582e-07,True,True
0.06,24.236413978031855,1.012,24.234168989565205,1.0000147545757123,1.3627134190631408e-06,True,True
0.06,24.52380228607176,1.024,24.52376237601129,1.0000057544433407,9.743645347999188e-08,True,True
0.06,24.811190594111665,1.036,24.81147915460224,1.0000068648925806,2.1411077096252866e-07,True,True
0.06,25.098578902151566,1.0479999999999998,25.099841976613106,1.0000094105432373,2.1517974417735387e-06,True,True
0.06,25.38596721019147,1.06,25.384970126896405,1.000007602260489,6.572635608964396e-07,True,True
0.06,25.673355518231375,1.072,25.674137362819238,0.9090965928838558,2.0439774913117094e-06,True,False
0.06,25.960743826271276,1.0839999999999999,25.13335144922121,1.0515603915743787,0.05424638390627181,True,False
0.06,26.24813213431118,1.0959999999999999,24.576883871108294,1.0625621348998193,0.08238391076701282,True,False
0.06,26.535520442351086,1.108,24.636705788224845,1.0922954000360052,0.09373898678204322,True,False
0.06,26.822908750390987,1.1199999999999999,24.485830160118894,1.1147864025009264,0.116478014241468,True,False
0.06,27.11029705843089,1.132,24.447697436213275,1.1316283883772085,0.13487415271676212,True,False
0.06,27.397685366470792,1.144,24.280223115905756,1.1467580913364237,0.1666055205372027,True,False
0.06,27.685073674510697,1.156,24.473480585897505,1.1405448726802165,0.1612840086733463,True,False
0.06,27.9724619825506,1.168,24.27930953405803,1.1562513852960192,0.1736303424202098,True,False
0.06,28.259850290590503,1.18,24.128716494925357,1.197780455713332,0.1984100592214788,True,False
0.07,19.638201049393402,0.82,19.638889172374547,1.0000173746483498,2.8565627688140186e-07,True,True
0.07,19.925589357433307,0.8320000000000001,19.92311111122308,1.000016195583167,1.1763281983671812e-06,True,True
0.07,20.212977665473208,0.844,20.21204830914712,0.9999997079433804,4.1667829784110204e-07,True,True
0.07,20.500365973513112,0.856,20.5,0.9855156269276437,2.3408172206313545e-06,True,True
0.07,20.787754281553017,0.868,20.788135985135796,0.9853055542835368,2.7185580981609723e-07,True,True
0.07,21.075142589592918,0.8799999999999999,21.07548387110205,1.0000068264807516,1.9926233578865577e-06,True,True
0.07,21.362530897632823,0.892,21.3617956325038,1.0000106076902302,3.894946509767781e-07,True,True
