dataset,subject_id,variable,condition,n_days,phase_sd_h,mean_amplitude
helissen2022,2022_1167187,tb_core,recovery,3,2.1204298494297267,0.4483527539600996
helissen2022,2022_1167187,tb_core,treatment,4,1.837935203464649,0.254337325871272
helissen2022,2022_1168656,activity,baseline,2,0.4395171925393321,0.07396139222928934
helissen2022,2022_1168656,activity,recovery,3,2.259421491522482,0.08144726855398876
helissen2022,2022_1168656,activity,treatment,4,4.002321088662485,0.021767779137335127
helissen2022,2022_1168656,tb_core,baseline,2,0.18557931276959416,0.7056990456002732
helissen2022,2022_1168656,tb_core,recovery,3,1.0975680502853904,0.6443486967433618
helissen2022,2022_1168656,tb_core,treatment,4,2.9073811616785528,0.3030200680215183
helissen2022,2022_1168657,activity,baseline,2,0.20760153300322184,0.07763844544335984
helissen2022,2022_1168657,activity,recovery,3,1.9147113265502744,0.05444338532667259
helissen2022,2022_1168657,activity,treatment,4,5.6789716066746525,0.03506864764161223
helissen2022,2022_1168657,tb_core,baseline,2,0.3241520842904386,0.8165464044579201
helissen2022,2022_1168657,tb_core,recovery,3,1.4397047668149037,0.7288834610603759
helissen2022,2022_1168657,tb_core,treatment,4,3.654842596537859,0.3705417649750629
helissen2022,2022_826367,activity,baseline,2,5.782226667148884,0.03918673058874621
helissen2022,2022_826367,activity,recovery,2,3.2615732053349067,0.07474239978592281
helissen2022,2022_826367,activity,treatment,4,3.725057062171819,0.03710332259873516
helissen2022,2022_826367,tb_core,baseline,2,2.180660220578143,0.3714113198649982
helissen2022,2022_826367,tb_core,recovery,2,1.8940238365898399,0.5475477819109892
helissen2022,2022_826367,tb_core,treatment,4,1.8136265281115314,0.5156850407880518
