module,file,ext,date,hour
4,Module04Chamber1-2018-04-27-21-49-11.mp4,mp4,2018-04-27,21.816666666666666
4,._Module04Chamber1-2018-04-27-21-49-11.mp4,mp4,2018-04-27,21.816666666666666
4,._Module04Chamber1-2018-04-27-21-49-11.mp4,mp4,2018-04-27,21.816666666666666
4,Module04Chamber1-2018-04-27-23-26-39.mp4,mp4,2018-04-27,23.433333333333334
4,._Module04Chamber1-2018-04-27-23-26-39.mp4,mp4,2018-04-27,23.433333333333334
4,._Module04Chamber1-2018-04-27-23-26-39.mp4,mp4,2018-04-27,23.433333333333334
4,Module04Chamber1_2018_05_03_14_40_45.jpg,jpg,2018-05-03,14.666666666666666
4,Module04Chamber1-2018-04-28-02-33-18.mp4,mp4,2018-04-28,2.55
4,Module04Chamber1-2018-04-28-15-28-38.mp4,mp4,2018-04-28,15.466666666666667
4,Module04Chamber1-2018-04-28-16-50-04.mp4,mp4,2018-04-28,16.833333333333332
4,Module04Chamber1-2018-04-28-18-17-43.mp4,mp4,2018-04-28,18.283333333333335
4,Module04Chamber1-2018-04-28-19-42-16.mp4,mp4,2018-04-28,19.7
4,Module04Chamber1-2018-04-28-21-09-21.mp4,mp4,2018-04-28,21.15
4,Module04Chamber1-2018-04-28-22-37-44.mp4,mp4,2018-04-28,22.616666666666667
4,Module04Chamber1_2018_05_03_15_43_47.jpg,jpg,2018-05-03,15.716666666666667
4,Module04Chamber1-2018-04-29-01-26-33.mp4,mp4,2018-04-29,1.4333333333333333
4,Module04Chamber1-2018-04-29-02-56-36.mp4,mp4,2018-04-29,2.9333333333333336
4,Module04Chamber1-2018-04-29-15-24-53.mp4,mp4,2018-04-29,15.4
4,Module04Chamber1-2018-04-29-16-54-30.mp4,mp4,2018-04-29,16.9
4,Module04Chamber1-2018-04-29-18-17-23.mp4,mp4,2018-04-29,18.283333333333335
4,Module04Chamber1-2018-04-29-19-41-51.mp4,mp4,2018-04-29,19.683333333333334
4,Module04Chamber1-2018-04-29-21-12-59.mp4,mp4,2018-04-29,21.2
4,Module04Chamber1-2018-04-29-22-36-55.mp4,mp4,2018-04-29,22.6
4,Module04Chamber1_2018_05_03_16_46_45.jpg,jpg,2018-05-03,16.766666666666666
4,Module04Chamber1-2018-04-30-01-34-59.mp4,mp4,2018-04-30,1.5666666666666667
4,Module04Chamber1-2018-04-30-03-01-51.mp4,mp4,2018-04-30,3.0166666666666666
4,Module04Chamber1_2018_05_03_17_49_37.jpg,jpg,2018-05-03,17.816666666666666
4,Module04Chamber1-2018-05-02-09-11-08.mp4,mp4,2018-05-02,9.183333333333334
4,Module04Chamber1-2018-05-02-10-10-43.mp4,mp4,2018-05-02,10.166666666666666
4,Module04Chamber1-2018-05-02-11-15-52.mp4,mp4,2018-05-02,11.25
4,Module04Chamber1-2018-05-02-12-17-16.mp4,mp4,2018-05-02,12.283333333333333
4,Module04Chamber1-2018-05-02-13-21-30.mp4,mp4,2018-05-02,13.35
4,Module04Chamber1-2018-05-02-14-28-47.mp4,mp4,2018-05-02,14.466666666666667
4,Module04Chamber1-2018-05-02-15-33-05.mp4,mp4,2018-05-02,15.55
4,Module04Chamber1-2018-05-02-16-36-58.mp4,mp4,2018-05-02,16.6
4,Module04Chamber1-2018-05-02-17-41-32.mp4,mp4,2018-05-02,17.683333333333334
4,Module04Chamber1-2018-05-02-18-45-23.mp4,mp4,2018-05-02,18.75
4,Module04Chamber1-2018-05-02-19-49-39.mp4,mp4,2018-05-02,19.816666666666666
4,Module04Chamber1-2018-05-03-08-27-36.mp4,mp4,2018-05-03,8.45
4,Module04Chamber1-2018-05-03-10-11-43.mp4,mp4,2018-05-03,10.183333333333334
4,Module04Chamber1-2018-05-03-11-31-47.mp4,mp4,2018-05-03,11.516666666666667
4,Module04Chamber1-2018-05-03-12-32-07.mp4,mp4,2018-05-03,12.533333333333333
4,Module04Chamber1-2018-05-03-13-37-40.mp4,mp4,2018-05-03,13.616666666666667
4,Module04Chamber1-2018-05-03-14-40-45.mp4,mp4,2018-05-03,14.666666666666666
4,Module04Chamber1-2018-05-03-15-43-47.mp4,mp4,2018-05-03,15.716666666666667
4,Module04Chamber1-2018-05-03-16-46-45.mp4,mp4,2018-05-03,16.766666666666666
4,Module04Chamber1-2018-05-03-17-49-37.mp4,mp4,2018-05-03,17.816666666666666
4,Module04Chamber1-2018-05-03-18-52-36.mp4,mp4,2018-05-03,18.866666666666667
4,Module04Chamber1_2018_05_03_18_52_36.jpg,jpg,2018-05-03,18.866666666666667
5,Module05Chamber1-2018-04-08-00-14-10.mp4,mp4,2018-04-08,0.23333333333333334
5,Module05Chamber1-2018-04-09-00-26-56.mp4,mp4,2018-04-09,0.43333333333333335
5,Module05Chamber1-2018-04-09-19-10-14.mp4,mp4,2018-04-09,19.166666666666668
5,Module05Chamber1-2018-04-10-00-46-24.mp4,mp4,2018-04-10,0.7666666666666667
5,Module05Chamber1-2018-04-10-19-12-46.mp4,mp4,2018-04-10,19.2
5,Module05Chamber1-2018-04-11-00-54-01.mp4,mp4,2018-04-11,0.9
5,Module05Chamber1-2018-04-12-00-39-44.mp4,mp4,2018-04-12,0.65
5,Module05Chamber1-2018-04-13-00-29-03.mp4,mp4,2018-04-13,0.48333333333333334
5,Module05Chamber1-2018-04-14-00-32-09.mp4,mp4,2018-04-14,0.5333333333333333
5,Module05Chamber1-2018-04-16-00-12-22.mp4,mp4,2018-04-16,0.2
5,Module05Chamber1-2018-04-16-01-52-25.mp4,mp4,2018-04-16,1.8666666666666667
5,Module05Chamber1-2018-04-18-00-49-07.mp4,mp4,2018-04-18,0.8166666666666667
5,Module05Chamber1-2018-04-24-00-37-14.mp4,mp4,2018-04-24,0.6166666666666667
5,Module05Chamber1-2018-04-27-00-06-47.mp4,mp4,2018-04-27,0.1
5,Module05Chamber1-2018-04-28-01-04-36.mp4,mp4,2018-04-28,1.0666666666666667
