mesor,amplitude,acrophase,p_rhythm,n,IS,IV,RA,bin_h,span_h,dataset,subject_id,condition,variable,species,gravity
112.94823884120888,1.8122776637663838,12.61913271209164,0.3082967739516208,35,0.4559980198000663,1.5586270706407652,0.05495650455613088,2.0,68.0,helissen2020,2020_1111871,recovery,bp_mean,mouse,1G
611.3109284906355,13.508318512119414,6.56230489209018,0.30956586847200396,35,0.16587886247019715,0.6980198746997862,0.08133026012512344,2.0,68.0,helissen2020,2020_1111871,recovery,hr,mouse,1G
33.08111978499825,0.4973276580985417,10.70110184383149,0.019128283819537573,35,0.6015209386838771,1.2465485795555393,0.03265946538567819,2.0,68.0,helissen2020,2020_1111871,recovery,tb_sub,mouse,1G
0.037217790838821575,0.001805570189125405,0.1713422939317604,0.9369556790678605,60,0.3671866346878854,1.5575118921506612,0.7323882540141763,2.0,118.0,helissen2020,2020_1111871,treatment,activity,mouse,HLU
117.28384829360134,0.9570363661962202,11.569020718657738,0.5073230536081552,60,0.4919555131257236,1.5718901522555362,0.048283779728901105,2.0,118.0,helissen2020,2020_1111871,treatment,bp_mean,mouse,HLU
590.0770851179151,4.379398735388866,18.481629681037553,0.8520341266573732,60,0.1938258950595311,0.40870807950833193,0.11134343962362778,2.0,118.0,helissen2020,2020_1111871,treatment,hr,mouse,HLU
32.39916603152139,0.2248283456429318,10.10358373949173,0.07158167778767344,60,0.42457805526851305,0.7900395438883107,0.026551399047378462,2.0,118.0,helissen2020,2020_1111871,treatment,tb_sub,mouse,HLU
0.4472966264340569,0.4154191186916672,9.842454803887344,3.305315788337815e-05,36,0.9430997662191084,1.1310257782199804,0.8994094797584032,2.0,70.0,helissen2020,2020_612582,baseline,activity,mouse,1G
117.32289659290656,7.834219863384402,11.018856058119871,0.0004894778496631336,36,0.9104877706615394,1.378547361656961,0.09424852153222242,2.0,70.0,helissen2020,2020_612582,baseline,bp_mean,mouse,1G
605.2895036221103,21.63130697178002,10.449574098991512,0.027934539197786434,36,0.5519023961872876,1.1895931723239477,0.09059623160973927,2.0,70.0,helissen2020,2020_612582,baseline,hr,mouse,1G
34.31005546157185,1.1737002790431212,9.707813401225776,1.7959724175509173e-05,36,0.9308966146563562,1.1904394958882798,0.0387270685355928,2.0,70.0,helissen2020,2020_612582,baseline,tb_sub,mouse,1G
0.20921741216904044,0.20020774481891512,8.949212531350584,0.0064088439497638205,35,0.560087203111532,0.8819604485251125,0.880707081661425,2.0,68.0,helissen2020,2020_612582,recovery,activity,mouse,1G
114.77349632521491,5.98422452688423,10.789517649458684,0.007724479500506032,35,0.5718172442553093,0.7400483701130209,0.09437855020875108,2.0,68.0,helissen2020,2020_612582,recovery,bp_mean,mouse,1G
581.3790178744941,29.616953282860894,7.303419770621917,0.06477646447981855,35,0.29891453899930553,0.39679794639924976,0.12352991673104985,2.0,68.0,helissen2020,2020_612582,recovery,hr,mouse,1G
33.54219145549892,0.8310907256499517,8.999115414095746,0.00255142421893384,35,0.6494576963037287,0.8736170941094539,0.034168707155313484,2.0,68.0,helissen2020,2020_612582,recovery,tb_sub,mouse,1G
0.04928044465539885,0.016475707982220318,14.631635405214254,0.05673675564069791,60,0.41731552587709203,1.3793509510655808,0.8908694070571116,2.0,118.0,helissen2020,2020_612582,treatment,activity,mouse,HLU
124.52084862816493,3.427157212964806,14.353984098836055,0.007283841210980357,60,0.6400291778774558,1.4541222738641382,0.07595099507544487,2.0,118.0,helissen2020,2020_612582,treatment,bp_mean,mouse,HLU
580.4905627905421,7.242530532477655,17.906712004903305,0.46340634106064016,60,0.20558091504872075,0.5334385417042952,0.08502449265220438,2.0,118.0,helissen2020,2020_612582,treatment,hr,mouse,HLU
33.27279139869291,0.2564123239961671,10.734269971363728,0.006028622348369761,60,0.5538771249509185,1.46181969216213,0.01807247030521734,2.0,118.0,helissen2020,2020_612582,treatment,tb_sub,mouse,HLU
0.21865833333333332,0.1493094278742319,12.98745482551774,2.198411961806812e-06,36,0.9021475702584116,1.2030531261133748,0.7332306716789709,2.0,70.0,helissen2021,2021_1136417,baseline,activity,mouse,1G
114.38594444444445,8.052245224086308,14.888164541409752,0.00020192361994297858,36,0.5852319381198741,0.7614535956250927,0.12021199496689798,2.0,70.0,helissen2021,2021_1136417,baseline,bp_mean,mouse,1G
582.6944444444445,21.328026427692162,10.488454989689442,0.003063556742037621,36,0.7518456694146348,1.0765314592980513,0.05051206387779903,2.0,70.0,helissen2021,2021_1136417,baseline,hr,mouse,1G
33.86563888888888,0.8965038276033038,13.158540756311478,2.7695993609633263e-08,36,0.9492299779357174,0.8948654669456646,0.02639827509003606,2.0,70.0,helissen2021,2021_1136417,baseline,tb_sub,mouse,1G
0.15006621827622563,0.06313163177275576,11.805823622497474,0.06585974320050081,37,0.4000707053310511,0.8909264570540388,0.9435796342872682,2.0,72.0,helissen2021,2021_1136417,recovery,activity,mouse,1G
111.82836822175621,3.9427857846967793,15.838882397937187,0.040195966838548536,37,0.39173506252385426,0.8978098454077346,0.08893956670467508,2.0,72.0,helissen2021,2021_1136417,recovery,bp_mean,mouse,1G
568.4803701630718,8.419116705125035,9.571194349027481,0.8303841597835049,37,0.08487664143634079,0.2282375889076577,0.14783220473133413,2.0,72.0,helissen2021,2021_1136417,recovery,hr,mouse,1G
33.883537168471705,0.5982800732682683,12.839892241642723,0.00018526658473028146,37,0.6842021636787742,1.0301452465210634,0.026330528901217305,2.0,72.0,helissen2021,2021_1136417,recovery,tb_sub,mouse,1G
0.028145000000000003,0.008058481449436479,14.297092384373045,0.03776376984025931,60,0.32314225027040866,1.5767227054849515,0.7463645586743322,2.0,118.0,helissen2021,2021_1136417,treatment,activity,mouse,HLU
119.48950000000005,2.902016067580302,16.668801727832424,0.01115428486433645,60,0.30421405531407897,0.7014962145119806,0.0780607915883342,2.0,118.0,helissen2021,2021_1136417,treatment,bp_mean,mouse,HLU
560.0166666666668,7.233541685658967,16.481830565671267,0.39660281390277996,60,0.16346004226079283,0.6027685119139722,0.07402398340997207,2.0,118.0,helissen2021,2021_1136417,treatment,hr,mouse,HLU
33.02156666666667,0.3293520037579803,13.115055756546665,0.0003161312690144191,60,0.5195651390768407,0.9697205016535255,0.022820840163470038,2.0,118.0,helissen2021,2021_1136417,treatment,tb_sub,mouse,HLU
0.24764999999999998,0.13449403393438605,12.807424703233988,3.281926307241445e-05,36,0.7752549982563911,1.1591914358840618,0.6357461001850755,2.0,70.0,helissen2021,2021_1167187,baseline,activity,mouse,1G
114.09833333333333,4.708844661824135,13.7281487873739,9.780087019484185e-05,36,0.6982369196821521,1.0944790417800487,0.059566296410160445,2.0,70.0,helissen2021,2021_1167187,baseline,bp_mean,mouse,1G
561.9722222222222,20.659446614649635,6.254912650946604,0.020381332776247207,36,0.5377302499340757,0.7881508777921672,0.08358689815643455,2.0,70.0,helissen2021,2021_1167187,baseline,hr,mouse,1G
33.72966666666666,0.7494085526434041,12.479748712261467,1.0467123601198836e-07,36,0.9057951203428617,0.9676339724435656,0.02399179321754498,2.0,70.0,helissen2021,2021_1167187,baseline,tb_sub,mouse,1G
0.14895839853102563,0.09797883014801348,12.307871199046227,0.01585454581561241,37,0.4544895324788501,0.948525991246659,0.9127134724857687,2.0,72.0,helissen2021,2021_1167187,recovery,activity,mouse,1G
114.98746720712305,3.8711330938089654,15.111444877971786,0.04629626435631151,37,0.6446489733040541,1.5505336539200836,0.08152523017629011,2.0,72.0,helissen2021,2021_1167187,recovery,bp_mean,mouse,1G
532.7214578504362,12.742488402016088,12.333535922194795,0.6164533721901682,37,0.15890966080346144,0.3478934339661214,0.14941663530297325,2.0,72.0,helissen2021,2021_1167187,recovery,hr,mouse,1G
33.02021442199989,0.6370706542154898,11.687046079634912,7.805164208940507e-05,37,0.6991012632860708,0.9574727924057073,0.029064875815921473,2.0,72.0,helissen2021,2021_1167187,recovery,tb_sub,mouse,1G
0.02998166666666667,0.005981862734609784,13.002561080679278,0.325611220598937,60,0.29240305014488205,1.099842384411442,0.7098372257607926,2.0,118.0,helissen2021,2021_1167187,treatment,activity,mouse,HLU
119.01616666666669,3.8858159846216322,15.991431100776824,0.0018818975570543683,60,0.5415847496535087,0.9747195414898362,0.08677705514976491,2.0,118.0,helissen2021,2021_1167187,treatment,bp_mean,mouse,HLU
558.0166666666667,15.90184224539965,22.207263929733177,0.002193519803337707,60,0.2715028886267991,0.94498594772,0.0566378066378066,2.0,118.0,helissen2021,2021_1167187,treatment,hr,mouse,HLU
32.873183333333344,0.14620061800132447,12.7290374426501,0.08753813789349807,60,0.40628824995638124,0.9597458175294983,0.015392147862541696,2.0,118.0,helissen2021,2021_1167187,treatment,tb_sub,mouse,HLU
0.25742499999999996,0.17659322566471206,12.194015228794072,4.538994947700381e-05,36,0.8315702759574453,0.9881479622687261,0.7299736471607522,2.0,70.0,helissen2021,2021_1168656,baseline,activity,mouse,1G
