variable,dataset,n_animals,n_days_treat,true_dphi,power,sd_base,sd_treat
activity,helissen2021,12,5,2.0,0.785,0.13747515642163574,5.217705393830799
activity,helissen2021,12,5,3.0,0.9825,0.13747515642163574,5.217705393830799
activity,helissen2021,12,7,1.0,0.355,0.13747515642163574,5.217705393830799
activity,helissen2021,12,7,2.0,0.892,0.13747515642163574,5.217705393830799
activity,helissen2021,12,7,3.0,0.9985,0.13747515642163574,5.217705393830799
activity,helissen2021,12,10,1.0,0.4705,0.13747515642163574,5.217705393830799
activity,helissen2021,12,10,2.0,0.974,0.13747515642163574,5.217705393830799
activity,helissen2021,12,10,3.0,1.0,0.13747515642163574,5.217705393830799
activity,helissen2021,12,14,1.0,0.614,0.13747515642163574,5.217705393830799
activity,helissen2021,12,14,2.0,0.9965,0.13747515642163574,5.217705393830799
activity,helissen2021,12,14,3.0,1.0,0.13747515642163574,5.217705393830799
activity,helissen2021,12,21,1.0,0.7995,0.13747515642163574,5.217705393830799
activity,helissen2021,12,21,2.0,1.0,0.13747515642163574,5.217705393830799
activity,helissen2021,12,21,3.0,1.0,0.13747515642163574,5.217705393830799
activity,helissen2021,16,5,1.0,0.3595,0.13747515642163574,5.217705393830799
activity,helissen2021,16,5,2.0,0.8925,0.13747515642163574,5.217705393830799
activity,helissen2021,16,5,3.0,0.997,0.13747515642163574,5.217705393830799
activity,helissen2021,16,7,1.0,0.468,0.13747515642163574,5.217705393830799
activity,helissen2021,16,7,2.0,0.964,0.13747515642163574,5.217705393830799
activity,helissen2021,16,7,3.0,1.0,0.13747515642163574,5.217705393830799
activity,helissen2021,16,10,1.0,0.6025,0.13747515642163574,5.217705393830799
activity,helissen2021,16,10,2.0,0.9945,0.13747515642163574,5.217705393830799
activity,helissen2021,16,10,3.0,1.0,0.13747515642163574,5.217705393830799
activity,helissen2021,16,14,1.0,0.761,0.13747515642163574,5.217705393830799
activity,helissen2021,16,14,2.0,1.0,0.13747515642163574,5.217705393830799
activity,helissen2021,16,14,3.0,1.0,0.13747515642163574,5.217705393830799
activity,helissen2021,16,21,1.0,0.918,0.13747515642163574,5.217705393830799
activity,helissen2021,16,21,2.0,1.0,0.13747515642163574,5.217705393830799
activity,helissen2021,16,21,3.0,1.0,0.13747515642163574,5.217705393830799
activity,helissen2022,4,5,1.0,0.1255,1.1144337254140306,4.021692322498499
activity,helissen2022,4,5,2.0,0.302,1.1144337254140306,4.021692322498499
activity,helissen2022,4,5,3.0,0.5465,1.1144337254140306,4.021692322498499
activity,helissen2022,4,7,1.0,0.1405,1.1144337254140306,4.021692322498499
activity,helissen2022,4,7,2.0,0.4015,1.1144337254140306,4.021692322498499
activity,helissen2022,4,7,3.0,0.6825,1.1144337254140306,4.021692322498499
activity,helissen2022,4,10,1.0,0.1615,1.1144337254140306,4.021692322498499
activity,helissen2022,4,10,2.0,0.491,1.1144337254140306,4.021692322498499
activity,helissen2022,4,10,3.0,0.786,1.1144337254140306,4.021692322498499
activity,helissen2022,4,14,1.0,0.204,1.1144337254140306,4.021692322498499
activity,helissen2022,4,14,2.0,0.5835,1.1144337254140306,4.021692322498499
activity,helissen2022,4,14,3.0,0.8635,1.1144337254140306,4.021692322498499
activity,helissen2022,4,21,1.0,0.263,1.1144337254140306,4.021692322498499
activity,helissen2022,4,21,2.0,0.6935,1.1144337254140306,4.021692322498499
activity,helissen2022,4,21,3.0,0.9385,1.1144337254140306,4.021692322498499
activity,helissen2022,6,5,1.0,0.193,1.1144337254140306,4.021692322498499
activity,helissen2022,6,5,2.0,0.5395,1.1144337254140306,4.021692322498499
