variable,dataset,n_animals,n_days_treat,true_dphi,power,sd_base,sd_treat
tb_sub,helissen2020,12,7,2.0,0.962,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,12,7,3.0,0.9995,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,12,10,1.0,0.592,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,12,10,2.0,0.994,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,12,10,3.0,1.0,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,12,14,1.0,0.743,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,12,14,2.0,1.0,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,12,14,3.0,1.0,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,12,21,1.0,0.883,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,12,21,2.0,1.0,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,12,21,3.0,1.0,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,16,5,1.0,0.457,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,16,5,2.0,0.9625,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,16,5,3.0,1.0,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,16,7,1.0,0.588,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,16,7,2.0,0.9935,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,16,7,3.0,1.0,0.29008815682880784,4.516313020920767
